,predicted_mean,predicted_std,optimal_degree,cv_r2_mean,r2_deg_1,r2_deg_2,r2_deg_3,Sobol_H,Sobol_R,Sobol_W,Sobol_H*R,Sobol_H*W,Sobol_W*R
SH_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SNET_URB_day_city,458.34703586642826,13.791208636663436,3.0,0.9997399383804433,0.9769252422060273,0.9989088773322617,0.9997399383804433,0.08643419579265009,0.24022037242631564,0.6667923810121301,0.002889593033830565,0.002305853439315319,0.0010029256788996448
SNET_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SNET_URB_night_city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SNET_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SWDNB_day_city,569.1016251045769,0.7550551885926741,2.0,0.9309466149440591,0.9257481332366867,0.9309466149440591,0.9180912038278182,0.4045312403475224,0.019714854339625353,0.5643699502944425,0.0007691106621839542,0.0029010948744310995,0.007713749481794696
SWDNB_day_non-city,594.0637388912585,0.08328468896940047,1.0,0.3084907598245771,0.3084907598245771,0.22004558813470246,0.09231578892794726,0.772813609955171,0.21969920650327915,0.0074871835415498845,0.0,0.0,0.0
SWDNB_night_city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SWDNB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SWDOWN_day_city,569.1016237010243,0.7550524048735802,2.0,0.930946244538468,0.9257480139050479,0.930946244538468,0.9180890640772825,0.4045326689035847,0.019715089125473526,0.5643694548990066,0.0007689976457154267,0.002900849236448295,0.007712940189771558
SWDOWN_day_non-city,594.0637366225214,0.0832825581510117,1.0,0.3084816389328727,0.3084816389328727,0.22002446036091672,0.09230674161553967,0.7728081480613503,0.21970468961391565,0.007487162324734067,0.0,0.0,0.0
SWDOWN_night_city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SWDOWN_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T2_day_city,287.26423708368134,0.021787460955655702,3.0,0.9891147362513626,0.8734265564902481,0.9708865445720065,0.9891147362513626,0.5739184641323952,0.00527598351670647,0.2824740395631194,0.009707782243379037,0.05364241777207436,0.040580600033833146
T2_day_non-city,296.44771747228873,0.00563275658243522,3.0,0.9755493708104769,0.8989962399477666,0.969400133685274,0.9755493708104769,0.6487165096470657,0.18476810862093868,0.08086802497120897,0.023190604444119415,0.041953000875653366,0.0035734194542495885
T2_night_city,283.69621793549817,0.23488343050767055,3.0,0.9992851711608214,0.9206993578004872,0.9918105842939067,0.9992851711608214,0.5878812103252826,0.290560550466406,0.05424025714418891,0.016283326070036526,0.022732703379846966,0.028296911992669194
T2_night_non-city,291.7118974892921,0.004028428506538772,3.0,0.976392941914996,0.8717577998497588,0.9676715456734584,0.976392941914996,0.6018216634343377,0.014998344819081978,0.26023569462507984,0.016366575460269178,0.08820990582641632,0.013157703550622804
TB_URB_day_city,301.83001412632996,1.0566104396302278,3.0,0.9996885107793865,0.9107803238548856,0.9953470766900205,0.9996885107793865,0.18455074236847038,0.05690308874064772,0.6819749859610711,0.00043591169133097444,0.0755752669693017,0.00024735031587725596
TB_URB_day_non-city,307.14761108419214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TB_URB_night_city,293.57771049374617,0.5977394840365288,3.0,0.9994534388865709,0.92843929451313,0.9931235455312935,0.9994534388865709,0.698475337475613,0.16341569506536022,0.06810852086614134,0.0009088844595940043,0.06760193832127755,0.0007323469889266865
TB_URB_night_non-city,307.14761965909935,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TC_URB_day_city,296.86014007532896,0.5072259240343895,3.0,0.9992790345306769,0.8826490574878804,0.990200484293975,0.9992790345306769,0.0022850844237384507,0.16949004883810426,0.6968406305744491,0.0175433645613974,0.10893190446992408,0.0015239732325052302
TC_URB_day_non-city,307.14761108419214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC_URB_night_city,288.97750520017286,1.026979099321525,3.0,0.9998517117396958,0.9813363984671198,0.9981309540562616,0.9998517117396958,0.6620072137280464,0.03131414101646648,0.2976284396271656,0.003047302597283417,0.004576971085128529,0.0006906768490542478
TC_URB_night_non-city,307.14761965909935,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TG_URB_day_city,308.349065598186,1.967577585502479,3.0,0.9997960998296691,0.9337999437373524,0.9969782097239988,0.9997960998296691,0.31170775781431637,0.020414098914417828,0.6198573896551949,6.383415065316415e-05,0.04784402488012506,6.721594341170044e-05
